产品名称,航线,订座舱位,上浮价格,政策返点,产品代码,票证类型,出票OFFICE,备注,产品有限期,航司结算方式,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,上浮/下浮价格,政策返点（后返+车辆后返+代理费),上浮价格/直减,结算方式
3U里程加享,川航国内航线,I/J,400,160,*/0KJL5,GP/BSP,KMG319,赠送额外4000里程,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
3U里程加享,川航国内航线,T/H/G/L/E/R/K/N,400,140,***/0KJL5,GP/BSP,KMG319,赠送额外4000里程,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
3U里程加享,川航国内航线,I/J,800,330,*/0KJL8,GP/BSP,KMG319,赠送额外8000里程,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
3U里程加享,川航国内航线,T/H/G/L/E/R/K/N,800,330,*/0KJL8,GP/BSP,KMG319,赠送额外8000里程,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
3U里程加享,川航国内航线,Q/M,800,300,***/0KJL8,GP/BSP,KMG319,赠送额外8000里程,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
3U里程加享,川航国际地区航线,C/I/J/P/Y/T/W/H/M/G/S/L/Q/E/V/R/N,"单程+100元
往返+200元","单程40元
往返80元","*M01**
*M11**",GP/BSP,KMG319,"单程赠送额外1000里程
往返赠送额外1000里程",航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
3U里程加享,川航国际地区航线,C/I/J/P/Y/T/W/H/M/G/S/L/Q/E/V/R/N,"单程+200元
往返+400元","单程80元
往返160元","*M02**
*M12**",GP/BSP,KMG319,"单程赠送额外2000里程
往返赠送额外4000里程",航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
3U里程加享,川航国际地区航线,C/I/J/P/Y/T/W/H/M/G/S/L/Q/E/V/R/N,"单程+500元
往返+1000元","单程200元
往返400元","*M05**
*M15**",GP/BSP,KMG319,"单程赠送额外5000里程
往返赠送额外10000里程",航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
3U行李加享,川航国际地区航线,Y/T/W/H/M/G/S/L/Q/E/V/R/N/U/X/K/B,动态定价,/,***BE***,GP/BSP,KMG319,额外1件免费托运行李额,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
3U航段加速/Q/M舱加价,所有航线,订：Q/M 舱  Q/M舱加价,50,20,YTD4NQF1,GP/BSP,KMG319/KMG279/CTU152,运价标识：YTD4NQF1 前返,有效,,,,,,,,,,,,,,,,,,,,,
3U航段加速/Q/M舱加价,所有航线,订：Q/M 舱  Q/M舱加价,100,40,YTD4NQF2,GP/BSP,KMG319/KMG279/CTU152,运价标识：YTD4NQF2 前返,有效,,,,,,,,,,,,,,,,,,,,,
3U航段加速/Q/M舱加价,所有航线,订：Q/M 舱  Q/M舱加价,200,120,YTD4KGJ3,GP/BSP,KMG319/KMG279/CTU152,运价标识：YTD4KGJ3（高舱高奖）,有效,,,,,,,,,,,,,,,,,,,,,
3U航段加速/Q/M舱加价,所有航线,订：Q/M 舱  Q/M舱加价,400,240,YTD4EGJ4,GP/BSP,KMG319/KMG279/CTU152,运价标识：YTD4EGJ4（高舱高奖）,有效,,,,,,,,,,,,,,,,,,,,,
3U川航大客户后返,"白名单是战狼队的非GP白名单，
请出到川航票的必须要带客户号，
后返结回来后会补给大家。（3折以上7%）
","大客户号：LFY001MAKM
（100%白名单）",（3折以上7%）,后返7%,LFY001MAKM,GP/BSP,KMG319,PAT A#CLFY001MAKM,有效,,,,,,,,,,,,,,,,,,,,,
3U往返程免改产品,往返订一起外放减优惠Y舱5%,N-Y舱 往返订一起,优惠Y5%,40/每段,WF1R+WF2R,GP/BSP,KMG319/KMG279/CTU152,"运价标识：WF1R+WF2R,2小时前免费改签",有效,,,,,,,,,,,,,,,,,,,,,
3U里程加享,所有航线,T-N舱公布运价+60元，LTMC+60+舱位代码,60,10,LTMC+60+舱位代码,GP/BSP,KMG319/KMG279/CTU152,赠送额外500里程,有效,,,,,,,,,,,,,,,,,,,,,
