航司,产品名称,航线,订座舱位,上浮价格,前返计算方式,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效截止日期,创建人,创建时间
9H长安,海天无限基础政策,,Y/H/K，，L/M/X，V/N，A/U/T,Y舱100%，H/K舱100%，L/M/X舱95%，V/N舱93%，A/U/T舱92%,,,,,,,BSP/GP,KMG319/KMG279,,有效,,
9H长安,海天无限基础政策,,Y/H/K，，L/M/X，V/N，A/U/T,Y舱100%，H/K舱100%，L/M/X舱97%，V/N舱96%，A/U/T舱94%,,,,,,,BSP/GP,KMG319/KMG279,,有效,,
9H长安,海天无限基础政策,特殊航线,A/U/T,A/U/T舱80%或85%,,,,,,,BSP/GP,KMG319/KMG279,,有效,,
9H长安,海天无限基础政策,,A/U/T,珠海-西安、库尔勒-西安T舱100%,,,,,,,BSP/GP,KMG319/KMG279,,有效,,
9H长安,海天无限特殊航线政策,"西安-巴中
巴中-西安
西安-南阳
南阳-西安
通辽-海拉尔
海拉尔-通辽",A/U/T,特殊航线 A/U/T 舱下浮 80%,,,,,,,BSP/GP,KMG319/KMG279,,有效,,
9H长安,海天无限特殊航线政策,"宜昌-大连
大连-宜昌
长春-郑州
郑州-长春
凯里-海口
海口-凯里
西安-铜仁
铜仁-西安
井冈山-珠海
珠海-井冈山
西安-敦煌
西安-海拉尔
海拉尔-西安",A/U/T,特殊航线 A/U/T 舱下浮 85%,,,,,,,BSP/GP,KMG319/KMG279,,有效,,
9H长安,海天无限特殊航线政策,"西安-巴中
巴中-西安
西安-南阳
南阳-西安
通辽-海拉尔
海拉尔-通辽",A/U/T,特殊航线 A/U/T 舱下浮 81%,,,,,,,BSP/GP,KMG319/KMG279,,有效,,
9H长安,海天无限特殊航线政策,"宜昌-大连
大连-宜昌
长春-郑州
郑州-长春
凯里-海口
海口-凯里
西安-铜仁
铜仁-西安
井冈山-珠海
珠海-井冈山
西安-敦煌
西安-海拉尔
海拉尔-西安",A/U/T,特殊航线 A/U/T 舱下浮 86%,,,,,,,BSP/GP,KMG319/KMG279,,有效,,
9H长安,海天无限特殊航线政策,"珠海-西安
库尔勒-西安",T,特殊航线T舱下浮 100%,,,,,,,BSP/GP,KMG319/KMG279,,有效,,
9H长安,异航联程基础政策,不含特殊航线的国内自营航线,Y/H/K，，L/M/X，V/N，A/U/T,Y舱100%，H/K舱95%，L/M/X舱94%，V/N舱93%，A/U/T舱92%,,,,,,,BSP/GP,KMG319/KMG279,,有效,,
9H长安,异航联程基础政策,不含特殊航线的国内自营航线,Y/H/K，，L/M/X，V/N，A/U/T,Y舱100%，H/K舱100%，L/M/X舱96%，V/N舱94%，A/U/T舱93%,,,,,,,BSP/GP,KMG319/KMG279,,有效,,
9H长安,异航联程基础政策,不含特殊航线的国内自营航线,Y/H/K，，L/M/X，V/N，A/U/T,Y舱100%，H/K舱100%，L/M/X舱98%，V/N舱97%，A/U/T舱95%,,,,,,,BSP/GP,KMG319/KMG279,,有效,,
9H长安,异航联程基础政策,特殊航线,A/U/T,A/U/T舱81%或86%,,,,,,,BSP/GP,KMG319/KMG279,,有效,,
9H长安,异航联程基础政策,特殊航线,T,珠海-西安、库尔勒-西安T舱100%,,,,,,,BSP/GP,KMG319/KMG279,,有效,,
9H长安,悦享经济舱,"XIY-SYX
SYX-XIY
CSX-HRB
HRB-CSX",H/K/L/M/X/V/N/A/U/T（含小舱位）,270元,固定值,,,0,,WXJA,BSP/GP,KMG319/KMG279,"1.免费托运行李额20KG；
2.可免费携带一件7KG且体积不超过20cm*40cm*55cm的非托运行李；
3.客票变更手续费优惠（见自愿变更条款）；
4.积分标准为125%×K；
5.享受会员定级航段标准为1.5个。1.经济舱前三排座位；
2.专属值机柜台（仅限西安机场N21-N23柜台）；
3.优先登机服务(以机场实际保障为准);
4.西安机场贵宾室服务；
5.客舱姓氏尊称服务；
6.饮品",有效,,
